profileKey,courtOrSystem,period,targetFamily,targetKey,neededObservedValue,neededDenominator,preferredSources,validationUseIfDocumented,notes
us-scotus-modern,U.S. Supreme Court,2000-2025,docket_mix,doctrine_share_by_area,case counts by issue/doctrine,total merits cases by period,Supreme Court Database issue-area data; Supreme Court Journal,false,Convert to config/calibration rows only when doctrine coding and denominators are archived.
us-scotus-modern,U.S. Supreme Court,2000-2025,review_activity,merits_invalidation_rate,constitutional invalidations,total constitutional merits cases,Supreme Court Database decision direction and declaration-unconstitutional fields,true,Requires direct mapping from case issue coding to simulator meritsInvalidationRate.
us-scotus-modern,U.S. Supreme Court,2020-2026,emergency_docket,emergency_relief_rate,substantive emergency grants,total emergency applications,SCOTUSblog emergency docket summaries; Supreme Court orders lists,true,Separate interim relief from later merits disposition.
us-scotus-modern,U.S. Supreme Court,2020-2026,case_selection,intake_acceptance_rate,grants or noted probable jurisdiction,total docketed review petitions,Supreme Court Journal; Court annual reports,true,Use as certiorari/intake target rather than review outcome validation.
us-scotus-modern,U.S. Supreme Court,2000-2025,compliance,executive_implementation_rate,implemented federal-government losses,total federal-government losses,agency implementation studies; Congressional Research Service; agency rulemaking dockets,false,Needs case-matched implementation coding before validation use.
us-scotus-modern,U.S. Supreme Court,2000-2025,legitimacy,public_trust,share expressing confidence,survey sample denominator,Gallup; Annenberg; Pew,false,Contextual only unless linked to simulated publicTrust not case outcomes.
germany-bverfg,German Federal Constitutional Court,2000-2025,case_selection,complaint_success_rate,successful constitutional complaints,total constitutional complaints,BVerfG annual statistics,true,Needed to replace broad synthesis rows with denominator-backed targets.
germany-bverfg,German Federal Constitutional Court,2000-2025,procedure,abstract_review_frequency,abstract review matters,total matters or constitutional-review matters,BVerfG annual statistics,true,Maps to abstractReviewRate only if filing categories are aligned.
germany-bverfg,German Federal Constitutional Court,2000-2025,compliance,implementation_follow_up_rate,implemented or legislatively corrected decisions,total decisions requiring follow-up,official annual reports; German law journals,false,Needs reproducible case list and coding rule.
canada-scc,Supreme Court of Canada,2000-2025,dialogic_review,suspended_declaration_rate,suspended declarations,total Charter invalidity declarations,SCC judgments database; Charter invalidation datasets,true,Needed for suspendedDeclarationRate and legislativeResponseCredibility.
canada-scc,Supreme Court of Canada,2000-2025,legislative_response,response_after_declaration,statutory response events,total declarations needing response,Parliamentary records; provincial legislative records,false,Must distinguish acceptance response from override and nonresponse.
south-africa-constcourt,Constitutional Court of South Africa,2000-2025,remedy,suspended_order_rate,suspended invalidity or structural remedy orders,total constitutional invalidations,SAFLII; Constitutional Court annual reports,true,Useful for suspended declarations and implementation capacity.
south-africa-constcourt,Constitutional Court of South Africa,2000-2025,compliance,local_government_compliance_rate,complied local-government orders,total local-government orders,Constitutional Court monitoring reports; implementation scholarship,false,Needs case-level coding and clear time horizon.
france-conseil,French Constitutional Council,2010-2025,pre_enactment_review,pre_enactment_review_rate,pre-promulgation referrals,total constitutional matters,Conseil constitutionnel annual statistics,true,Separate ex ante review from QPC concrete review.
france-conseil,French Constitutional Council,2010-2025,abstract_review,qpc_decision_outcome_rate,QPC unconstitutional findings,total QPC decisions,Conseil constitutionnel QPC statistics,true,Maps to abstract or concrete council review depending coding.
comparative-review-multi,Comparative constitutional-review systems,2000-2025,institutional_cost,normalized_budget_delay_cost,court budget and median time-to-decision,court budget denominator and disposed cases,official annual reports; CEPEJ; national court statistics,false,Use for cost calibration only with explicit normalization formula.
