profileKey,courtOrSystem,period,targetKey,label,observedValue,lowerBound,upperBound,numerator,denominator,unit,reliability,directAnalogue,calibrationAction,sourceTrail,sourceUrlStatus,notes
germany-bverfg-2024,German Federal Constitutional Court,2024,merits_invalidation_rate,Constitutional complaint success or grant rate,0.0085,0.0085,0.0085,39,4595,share,low,false,context-only,German Federal Constitutional Court 2024 statistics summarized in Deep Research output,pending-url-verification,This is an admissibility/success measure for constitutional complaints and should not be treated as merits invalidation without recoding.
france-conseil-2024,French Constitutional Council,2024,abstractReviewRate,QPC share of review decisions,0.778,0.778,0.778,42,54,share,high,true,promote-after-url-verification,Conseil constitutionnel 2024 review statistics summarized in Deep Research output,pending-url-verification,Useful for review-route mix if source table and categories are archived.
france-conseil-2024,French Constitutional Council,2024,preEnactmentReviewRate,A priori or DC share of review decisions,0.222,0.222,0.222,12,54,share,high,true,promote-after-url-verification,Conseil constitutionnel 2024 review statistics summarized in Deep Research output,pending-url-verification,Pair with QPC share; do not use as outcome validation.
france-conseil-qpc,French Constitutional Council,2010-2024 QPC,merits_invalidation_rate,QPC nonconformity rate,0.3145,0.305,0.324,318,1011,share,high,true,promoted,Conseil constitutionnel QPC360 statistical overview,verified:https://qpc360.conseil-constitutionnel.fr/bilan-statistique,Promoted as QPC nonconformity diagnostic using official QPC360 solution categories through 31 December 2024.
canada-scc-2024,Supreme Court of Canada,2024,intake_acceptance_rate,Leave-to-appeal grant rate,0.0665,0.060,0.075,35,526,share,high,true,promoted,Supreme Court of Canada Year in Review 2024,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,Promoted as an intake-access diagnostic using 35 granted applications divided by 526 applications filed.
canada-scc-2024,Supreme Court of Canada,2024,averageTimeToReview,Leave decision time,4.3,3.0,5.8,,,months,high,false,verified-context-only,Supreme Court of Canada Year in Review 2024,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,Simulator time-to-review is normalized; requires conversion formula before calibration.
canada-scc-2024,Supreme Court of Canada,2024,averageTimeToReview,Post-leave hearing time,9.4,6.3,9.9,,,months,high,false,verified-context-only,Supreme Court of Canada Year in Review 2024,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,Keep separate from leave-decision and hearing-to-judgment timing.
canada-scc-2024,Supreme Court of Canada,2024,publicDisagreementRate,Merits nonunanimity rate,0.620,0.620,0.620,31,50,share,medium,false,verified-context-only,Supreme Court of Canada Year in Review 2024,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,Merits split judgments are contextual for coalition fragmentation and are not emergency public disagreement.
south-africa-cc-2024-2025,Constitutional Court of South Africa,2024-2025,merits_invalidation_rate,Merits success rate,0.514,0.514,0.514,,,share,medium,true,promote-after-url-verification,South African Constitutional Court annual statistics summarized in Deep Research output,pending-url-verification,Good candidate only if case universe and merits-success coding are archived.
south-africa-cc-2024-2025,Constitutional Court of South Africa,2024-2025,averageTimeToReview,Time to judgment,216.8,10.0,414.0,,,days,medium,false,context-only,South African Constitutional Court annual statistics summarized in Deep Research output,pending-url-verification,Convert to normalized delay before use.
south-africa-cc-2024-2025,Constitutional Court of South Africa,2024-2025,publicDisagreementRate,Merits nonunanimity rate,0.286,0.286,0.286,,,share,medium,false,context-only,South African Constitutional Court annual statistics summarized in Deep Research output,pending-url-verification,Merits nonunanimity is contextual for coalition fragmentation.
uksc-2024-2025,UK Supreme Court,2024-2025,intake_acceptance_rate,Permission-to-appeal grant rate,0.361,0.345,0.375,61,170,share,high,true,promoted,UK Supreme Court Annual Report and Accounts 2024-2025,verified:https://www.supremecourt.uk/uploads/The_Supreme_Court_Annual_Report_2024_25_0ad2802fb7.pdf,Promoted as an intake-access diagnostic using the official 61 granted permissions among 170 decided PTAs.
uksc-2024-2025,UK Supreme Court,2024-2025,publicDisagreementRate,Merits dissent count context,0.070,0.070,0.070,3,43,share,medium,false,verified-context-only,UK Supreme Court Annual Report and Accounts 2024-2025,verified:https://www.supremecourt.uk/uploads/The_Supreme_Court_Annual_Report_2024_25_0ad2802fb7.pdf,Merits dissent count is contextual for opinion coalitions and is not emergency public disagreement.
india-sci-2024,Supreme Court of India,2024,intake_acceptance_rate,Admission-stage progression estimate,0.110,0.110,0.110,,,share,medium,false,context-only,Supreme Court of India docket statistics summarized in Deep Research output,pending-url-verification,Reported period appears to be 2016-2020 in the research note; verify before use.
india-sci-2024,Supreme Court of India,2024,caseSelectionAccess,Admission-stage docket share,0.7222,0.7222,0.7222,,,share,medium,false,context-only,Supreme Court of India docket statistics summarized in Deep Research output,pending-url-verification,"This is a docket-composition measure, not acceptance or access by itself."
brazil-stf-2024,Brazil STF,2024,abstractReviewRate,Repercussao-geral recognition rate,0.545,0.545,0.545,42,77,share,medium,false,context-only,Brazil STF statistics summarized in Deep Research output,pending-url-verification,Not a direct constitutional-review outcome; useful for admissibility salience.
brazil-stf-2023,Brazil STF,2023,emergencyReliefRate,Interim injunction activity,,,,"",,count,medium,false,source-gap,Brazil STF interim injunction counts summarized in Deep Research output,pending-url-verification,Research mentions individual and collegial counts but needs exact denominator and categories before entering calibration.
echr-2024,European Court of Human Rights,2024,intake_acceptance_rate,Probable Chamber or Committee case share,0.316,0.305,0.326,9100,28800,share,medium,true,promoted,ECHR Analysis of Statistics 2024,verified:https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng,Promoted as an access-through-filter proxy using rounded official counts for probable Chamber or Committee cases over applications allocated to a judicial formation.
echr-2024,European Court of Human Rights,2024,intake_rejection_rate,Judicial disposals inadmissible share,0.706,0.706,0.706,25990,36819,share,high,false,verified-context-only,ECHR Analysis of Statistics 2024,verified:https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng,Alternative rejection denominator; not a current simulator target key.
echr-2024,European Court of Human Rights,2024,emergency_relief_rate,Rule 39 grants over total interim-measure decisions,0.228,0.218,0.238,371,1630,share,high,true,promoted,ECHR Analysis of Statistics 2024,verified:https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng,Promoted as an emergency-relief analogue for treaty-court interim measures.
echr-2024,European Court of Human Rights,2024,emergency_relief_rate,Rule 39 grants over grants plus dismissals,0.517,0.517,0.517,371,718,share,high,false,verified-context-only,ECHR Analysis of Statistics 2024,verified:https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng,Alternative denominator yields a very different rate; keep denominator explicit.
cjeu-2024,Court of Justice of the European Union,2024,preliminary_reference_rate,Preliminary-reference docket share,0.6228,0.613,0.633,573,920,share,high,true,promoted,CJEU 2024 judicial activity statistics,verified:https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024,Promoted after simulator added preliminaryReferenceRate.
cjeu-2024,Court of Justice of the European Union,2024,appeal_route_rate,Appeal docket share,0.3011,0.292,0.311,277,920,share,high,true,promoted,CJEU 2024 judicial activity statistics,verified:https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024,Promoted after simulator added appealRouteRate.
cjeu-2024,Court of Justice of the European Union,2024,direct_action_rate,Direct-action docket share,0.0576,0.052,0.064,53,920,share,high,true,promoted,CJEU 2024 judicial activity statistics,verified:https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024,Promoted after simulator added directActionRate.
cjeu-general-court-2024,General Court of the European Union,2024,averageTimeToReview,All-case closure time,18.5,18.5,18.5,,,months,high,false,verified-context-only,Eucrim summary of CJEU judicial statistics 2024,verified:https://eucrim.eu/news/cjeu-judicial-statistics-2024/,Use only after normalized delay construction is documented.
cjeu-general-court-2024,General Court of the European Union,2024,averageTimeToReview,Judgment case closure time,22.1,22.1,22.1,,,months,high,false,verified-context-only,Eucrim summary of CJEU judicial statistics 2024,verified:https://eucrim.eu/news/cjeu-judicial-statistics-2024/,Keep separate from all-case closure time.
