caseId,term,dateDecision,issue,issueArea,category,mappingStatus,sourceRelease,sourceRowSha256
1946-001,1946,11/18/1946,80180,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,4dd042bbc466e562043782f90f9a0e8657853409f29bef108ed0b6b0f4689641
1946-002,1946,11/18/1946,10500,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,c92160d4cbfe58f1cbabc8372aefcd0c6f39bff75c2a416b47731d7e94042f08
1946-003,1946,11/18/1946,80250,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,8d5f3aa3916848806b0dac890c792d5a8543a8c4a2c885227cb5880404933c20
1946-004,1946,11/25/1946,20150,2,EQUALITY,issue-area,SCDB_2025_01,5933b10833d06f23200b8054370ae4e3e06e131fea0746afa531520f8e22c851
1946-005,1946,11/25/1946,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,26c874c4c261821d11adeeb53f0107ce5f8bfdadb8e1041d00521a1a7281a91b
1946-006,1946,11/25/1946,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,5a6f30a664dfcdde4e77a3a4e562e1ebdfced9049fbd1e3dcb13aa2880115a93
1946-007,1946,11/25/1946,80120,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,03289261e044225e18c0a616d3ffdc2e18b8b3322bb94526249b838c68c9d387
1946-008,1946,12/9/1946,90200,9,OTHER,residual-area,SCDB_2025_01,27cbcfff2c198e46c33a740e00e6c094e127c31f5e960df0e6d5815af75e1c8c
1946-009,1946,12/9/1946,70190,7,OTHER,residual-area,SCDB_2025_01,773095335a674335cc676dcdc210d6b908129f0001a4b17846706e738296c438
1946-010,1946,12/9/1946,80030,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,84fc66ecb00160ab5d2570ed2b144867e57b778c5796d2100fd4bd1c411cb8a1
1946-011,1946,12/9/1946,10120,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,9fb80805e8a24ba67396df06fbf0932e3500f0803d0c86ab4b7d08d88e957ad6
1946-012,1946,12/9/1946,20130,2,EQUALITY,issue-area,SCDB_2025_01,46c79b382de68fecd9f7ff5a8fb99ed1d0bfef353182dbc3b0037e7c66c9f933
1946-013,1946,12/9/1946,10430,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,09ffec5f193cf482a3119124a60889555393eb84a90e2e3fd87585a874ac29d9
1946-014,1946,12/9/1946,10400,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,3e9f71c7b843cbadace5f2c6230550ecb288e1c96185b36a3c10726f6bd91bdc
