profileKey,court,timePeriod,targetFile,contextScenarioKey,contextSourceFamily,sourceRows,validationRows,highReliabilityRows,mediumReliabilityRows,lowReliabilityRows,sourceUrlRows,denominatorRows,validationFamilies,stressOnlyFamilies,missingValidationFamilies,empiricalStatus,nextCalibrationPriority
canada-scc-2024,Supreme Court of Canada,2024,canada-scc-2024.csv,canadian-supreme-court,V-Dem WGI WJP institutional synthesis,1,1,1,0,0,1,1,intake,,case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,partial-validation-profile,add denominator-backed case-selection source rows
canada-scc-recent,Supreme Court of Canada,recent annual average,canada-scc-recent.csv,canadian-supreme-court,V-Dem WGI WJP institutional synthesis,4,0,1,3,0,1,2,,intake|merits|cost|political-context,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,source-backed-stress-profile,promote denominator-backed intake source rows
cjeu-2024,Court of Justice of the European Union,2024,cjeu-2024.csv,cjeu-court-of-justice,CJEU statistics WGI V-Dem synthesis,3,3,3,0,0,3,3,route-mix,,intake|case-selection|emergency|merits|remedy-timing|legislative-response|compliance|cost|doctrine-mix|political-context,partial-validation-profile,add denominator-backed intake source rows
cost-france-conseil,French Constitutional Council,recent annual,institutional-cost-profiles.csv,french-constitutional-council,V-Dem WGI WJP QPC360 synthesis,1,0,0,1,0,1,1,,cost,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,cost-benchmark-profile,archive cost normalization workbook and denominators before validation use
cost-uk-supreme-court,UK Supreme Court,recent annual,institutional-cost-profiles.csv,uk-supreme-court,V-Dem WGI WJP institutional synthesis,1,0,0,1,0,1,1,,cost,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,cost-benchmark-profile,archive cost normalization workbook and denominators before validation use
cost-us-supreme-court,U.S. Supreme Court,FY2025,institutional-cost-profiles.csv,us-supreme-court-benchmark,V-Dem WGI WJP Gallup synthesis,2,0,0,2,0,2,1,,cost,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,cost-benchmark-profile,archive cost normalization workbook and denominators before validation use
echr-2024,European Court of Human Rights,2024,echr-2024.csv,echr-treaty-court,Council of Europe WGI V-Dem synthesis,2,2,1,1,0,2,2,intake|emergency,,case-selection|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,partial-validation-profile,add denominator-backed case-selection source rows
france-conseil-qpc,French Constitutional Council,2010-2024 QPC | QPC recent period,france-conseil-qpc.csv,french-constitutional-council,V-Dem WGI WJP QPC360 synthesis,5,2,2,2,1,2,3,merits|remedy-timing,cost|political-context,intake|case-selection|emergency|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,partial-validation-profile,archive cost normalization workbook and denominators before validation use
gallup-court-confidence-2024,U.S. Supreme Court,2024 public-opinion year,us-supreme-court-2024-public-emergency.csv,us-supreme-court-benchmark,V-Dem WGI WJP Gallup synthesis,1,0,0,1,0,1,0,,political-context,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,source-backed-stress-profile,promote denominator-backed political-context source rows
germany-bverfg-2024,German Federal Constitutional Court,2024,germany-bverfg-2024.csv,german-constitutional-court,V-Dem WGI WJP institutional synthesis,4,0,0,4,0,1,2,,intake|cost|political-context,intake|case-selection|emergency|merits|remedy-timing|legislative-response|route-mix|compliance|cost|doctrine-mix|political-context,source-backed-stress-profile,promote denominator-backed intake source rows
