profileKey,court,targetFamily,coverageStatus,sourceRows,validationRows,stressOnlyRows,outOfRangeRows,largestGap,largestGapTarget,largestGapCategory,nextAction
canada-scc-2024,Supreme Court of Canada,intake,validation-counted,1,1,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,case-selection,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,emergency,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,merits,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,remedy-timing,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,legislative-response,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,route-mix,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,compliance,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,cost,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,doctrine-mix,missing,0,0,0,0,0.000,,,
canada-scc-2024,Supreme Court of Canada,political-context,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,intake,stress-only,1,0,1,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,case-selection,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,emergency,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,merits,stress-only,1,0,1,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,remedy-timing,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,legislative-response,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,route-mix,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,compliance,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,cost,stress-only,1,0,1,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,doctrine-mix,missing,0,0,0,0,0.000,,,
canada-scc-recent,Supreme Court of Canada,political-context,stress-only,1,0,1,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,intake,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,case-selection,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,emergency,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,merits,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,remedy-timing,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,legislative-response,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,route-mix,validation-counted,3,3,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,compliance,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,cost,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,doctrine-mix,missing,0,0,0,0,0.000,,,
cjeu-2024,Court of Justice of the European Union,political-context,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,intake,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,case-selection,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,emergency,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,merits,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,remedy-timing,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,legislative-response,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,route-mix,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,compliance,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,cost,stress-only,1,0,1,0,0.000,,,
cost-france-conseil,French Constitutional Council,doctrine-mix,missing,0,0,0,0,0.000,,,
cost-france-conseil,French Constitutional Council,political-context,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,intake,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,emergency,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,merits,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,compliance,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,cost,stress-only,1,0,1,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,doctrine-mix,missing,0,0,0,0,0.000,,,
cost-uk-supreme-court,UK Supreme Court,political-context,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,intake,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,emergency,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,merits,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,compliance,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,cost,stress-only,2,0,2,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,doctrine-mix,missing,0,0,0,0,0.000,,,
cost-us-supreme-court,U.S. Supreme Court,political-context,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,intake,validation-counted,1,1,0,0,0.000,,,
echr-2024,European Court of Human Rights,case-selection,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,emergency,validation-counted,1,1,0,0,0.000,,,
echr-2024,European Court of Human Rights,merits,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,remedy-timing,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,legislative-response,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,route-mix,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,compliance,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,cost,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,doctrine-mix,missing,0,0,0,0,0.000,,,
echr-2024,European Court of Human Rights,political-context,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,intake,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,case-selection,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,emergency,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,merits,validation-counted,1,1,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,remedy-timing,validation-counted,1,1,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,legislative-response,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,route-mix,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,compliance,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,cost,stress-only,2,0,2,0,0.000,,,
france-conseil-qpc,French Constitutional Council,doctrine-mix,missing,0,0,0,0,0.000,,,
france-conseil-qpc,French Constitutional Council,political-context,stress-only,1,0,1,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,intake,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,emergency,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,merits,missing,0,0,0,0,0.000,,,
