weightDraw,rightsProtection,democraticResponsiveness,legalStability,legitimacy,complianceRate,caseSelectionAccess,totalInstitutionalCost,vetoRelocationRisk,averageTimeToReview,shadowDocketAbuse,constitutionalConflict,administrativeLoad
0,0.15501774921550918,0.023939206824643525,0.020759657254788903,0.11491569200700065,0.06911205467236678,0.07441404371664016,0.011406101202885842,0.15753453989618688,0.012684197687287246,0.008729956245129117,0.18056979694199607,0.17091700433556575
1,0.06510243980433057,0.18830877959442235,0.012834033710410782,0.026743185167656055,0.03583379381669298,0.06579185163673662,0.17532422570114126,0.0021959779253744012,0.3352312970477687,0.017553411860575144,0.06157425700515573,0.013506746729735352
2,0.06484683247488532,0.140034329900044,0.024062522171149174,0.0008697192565203789,0.03173366095204142,0.12608804130084478,0.11049280030725595,0.18564706594230196,0.15861431268157414,0.006933741787079548,0.0033578945649854696,0.14731907866131794
3,0.10808478089580159,0.026568053820875705,0.01376407239330034,0.02017375074308859,0.014486428346260367,0.0714036430894691,0.6623004772472721,0.017544083434461382,0.0043741803739747,0.0008403685690894307,0.019990261499746892,0.04046989958665975
4,0.06900802277631038,0.2846086754687865,0.19574174918493195,0.002945197967708628,0.147215019086098,0.04986254063147523,0.0066060149788052785,0.02182306501014923,0.00398943063439748,0.01774190899783822,0.0762077531263468,0.12425062213715238
5,0.0033335434051033844,0.13203322227538097,0.0045948446305727865,0.05572984467510816,0.23452703275305178,0.07277236118962836,0.2594142663028969,0.1282000093840165,0.08921807580644239,0.0036772370915506463,0.010615441596642537,0.005884120889605619
6,0.05880128087509422,0.0067877801380363525,0.1717068786001658,0.04474492826915295,0.19190346989402776,0.018906400026790178,0.18726773519493864,0.05568954381712294,0.21155388854135262,0.012125412190147674,0.03441969095069222,0.006092991502478601
7,0.19863150367630195,0.12379291129182869,0.04021974334969031,0.028141652467924442,0.005381919371412242,0.1756524870493847,0.06511045836325499,0.0588429972620324,0.07507149666117892,0.01859505580995454,0.13654727347477155,0.07401250122226521
8,0.025315721465580282,0.05495009889225374,0.010488240904061646,0.024103635151739036,0.0173858514978861,0.04134519142911054,0.3219428218499217,0.011947626453081705,0.16646614638829083,0.10310125763720986,0.011755298763137847,0.21119810956772683
9,0.022744002688274083,0.015461016302342916,0.07100771092475162,0.23153569053888054,0.045927310542861616,0.006561804189887114,0.02202226906097501,0.008789587007753924,0.31045124905667576,0.1385167190518641,0.05292640465539806,0.0740562359803352
10,0.006849054498985609,0.07482266021045689,0.01830460121534095,0.10511355071067541,0.23619484880855215,0.03724724798063371,0.03971077339047213,0.12906199615741537,0.03822214907258346,0.19680935584432277,0.07449669869822258,0.043167063412339036
11,0.1031730258366868,0.06532213619742412,0.12095918181816002,0.02316352537416315,0.13095329328412544,0.0038337269577159816,0.0043448107486118185,0.16413093392272235,0.031928721907528004,0.15261621011196458,0.024303180419723337,0.17527125342117433
12,0.0010541000157655276,0.13494378822910125,0.05707100930654665,0.043165354894308734,0.25489467563118895,0.16459014669771152,0.0013723668665627075,0.1398614149766515,0.03731853351427755,0.035174029017985387,0.08024162230152428,0.0503129585483759
13,0.057243689833795,0.061443439182806814,0.043389556707836514,0.1476215965783161,0.13639468830929777,0.04390756276753239,0.13028208398903976,0.09310641381680503,0.010906252457762989,0.0767488697849195,0.027804131869943356,0.17115171470194476
14,0.16419137672499695,0.050390824226951944,0.07874020824128224,0.03819242234841327,0.037331386844978616,0.1555585105763192,0.030418208575075937,0.15099360968660971,0.05888535973510305,0.13466653882694427,0.08823491101995225,0.012396643193372527
15,0.022589074752000088,0.018806790256752012,0.03376717942179131,0.08780479124410666,0.06747406006210789,0.19071893920862723,0.17149906377693167,0.1548072761283369,0.03085612175155901,0.006114325575860705,0.11113862536496069,0.1044237524569659
16,0.07273635211858515,0.1301137125647338,0.008524403828226022,0.021889639227336014,0.08383370744858692,0.2795677503458305,0.1292988750205386,0.010813994008140784,0.06896956648448063,0.1448236832579465,0.015657856274754633,0.03377045942084041
17,0.1266080258833275,0.0817744495225693,0.010832023490650695,0.05761420157400561,0.042197045012768074,0.013818484575016245,0.20459656506384075,0.012731269569923362,0.043678983403244546,0.043778054495500096,0.16038947038073534,0.20198142702841843
18,0.0657241461338887,0.034430358448801344,0.05232983935360813,0.27908683309421106,0.01906526876244438,0.02556284203902539,0.009506566007978503,0.06297705584345353,0.09731476863195163,0.1877502791694743,0.12088928401485416,0.045362758500308915
19,0.11050565693581961,0.10539292321888712,0.1406492080981476,0.2158668937950672,0.00593230951663866,0.008556047619342557,0.04009915305630577,0.03329355827797637,0.08850295937640362,0.023196879071907713,0.18001486191317356,0.047989549120330155
20,0.20051889077835627,0.21206215625897312,0.035864233210408825,0.049143722357952536,0.05973176771544243,0.012143786168622765,0.11195159508882524,0.06717717032591446,0.061946593463399556,0.026466522275262347,0.03420852164903129,0.12878504070781113
21,0.010072233358952708,0.041960208320220696,0.06622120334944644,0.2621795072924529,0.05946819071542145,0.10720228105503889,0.022378536319698786,0.06500204939503156,0.011377265642159748,0.26170428252938205,0.020283723663564603,0.07215051835863015
22,0.0584129444609093,0.05525715398706395,0.008838009305664913,0.13958790697739107,0.12952630881845117,0.2629133590330684,0.16866590898445563,0.08029787580480913,0.030588009411203345,0.026942254407361997,0.0037388451612006385,0.03523142364842052
23,0.1520124971748223,0.04695224595151549,0.08840587559226509,0.06325548794532732,0.09609409994229928,0.15591646886511173,0.0605058305279146,0.11076624637420879,0.04733548630459358,0.0741867722646535,0.06101368212275426,0.04355530693453412
