profile,context,left,right,weightDraws,meanDifference,preferenceP025,preferenceP975,positiveDraws,negativeDraws,tiedDraws,differenceMin,differenceMax,reversesAcrossWeights
frozen-generator,baseline,weak-form-half-response,weak-form-review,1000,-0.009274273839062222,-0.01502503657148541,-0.004082878886596727,0,1000,0,-0.018561454655226073,-0.00240924368221751,False
frozen-generator,baseline,weak-form-no-response,weak-form-review,1000,-0.01782007470759148,-0.02869007462070277,-0.00773561466932596,0,1000,0,-0.035848406126499865,-0.004310324182620673,False
frozen-generator,emergencyPressure-low,weak-form-half-response,weak-form-review,1000,-0.011029600037309526,-0.018570571679938815,-0.004785466202798411,0,1000,0,-0.02390775444895943,-0.0029089668252250123,False
frozen-generator,emergencyPressure-low,weak-form-no-response,weak-form-review,1000,-0.021705423956401303,-0.03592146783764909,-0.009503578685625227,0,1000,0,-0.04532306483397175,-0.005642056078872804,False
frozen-generator,emergencyPressure-high,weak-form-half-response,weak-form-review,1000,-0.005645620472929357,-0.009822550005200097,-0.0023334330837106346,0,1000,0,-0.013709541137303494,-0.0006640417380079366,False
frozen-generator,emergencyPressure-high,weak-form-no-response,weak-form-review,1000,-0.010699161570508726,-0.018388275535651796,-0.004246150368175504,0,1000,0,-0.024769040669172848,-0.0010210786427897744,False
frozen-generator,rightsThreatRate-low,weak-form-half-response,weak-form-review,1000,-0.005680939114700319,-0.009555007927079518,-0.002536020648587384,0,1000,0,-0.012087663131611803,-0.0016114090894981947,False
frozen-generator,rightsThreatRate-low,weak-form-no-response,weak-form-review,1000,-0.011293347316287254,-0.018965517089477156,-0.004712672376877303,0,1000,0,-0.024166532369812366,-0.00282269141438507,False
frozen-generator,rightsThreatRate-high,weak-form-half-response,weak-form-review,1000,-0.01526766610831791,-0.023693446981887648,-0.0071429099745308165,0,1000,0,-0.029437278968515,-0.003796155173345972,False
frozen-generator,rightsThreatRate-high,weak-form-no-response,weak-form-review,1000,-0.03128703026774377,-0.04847333211984119,-0.01453613032991711,0,1000,0,-0.05849058318436562,-0.00717677685624496,False
frozen-generator,appointmentPolarization-low,weak-form-half-response,weak-form-review,1000,-0.008245956811251667,-0.014149803081993048,-0.0030171896151173607,0,1000,0,-0.018018855956645763,-0.0016596926995796624,False
