caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,totalCases,reviewedCases,invalidations,emergencyOrders,emergencyReliefs,meritsReviews,meritsInvalidations,overrides,intakeFilings,screenedFilings,directionalScore,reviewRate,intakeAcceptanceRate,emergencyReliefRate,meritsReviewRate,meritsInvalidationRate,emergencyReasonGivingRate,emergencyVoteDisclosureRate,emergencyPublicDisagreementRate,governmentEmergencyApplicantShare,governmentEmergencyWinRate,meritsFollowUpRate,legalStability,rightsProtection,partisanAlignment,shadowDocketAbuse,legitimacy,reversalRate,constitutionalConflict,democraticResponsiveness,legislativeResponseCredibility,caseSelectionAccess,governmentRepeatPlayerAdvantage,implementationCapacity,democraticConstitutionalism,vetoRelocationRisk,legalTransplantFeasibility,politicalCultureSensitivity,independenceAccountabilityBalance,concurrenceFragmentation,dissentIntensity,recusalRate,enBancRate,crossCheckRate,councilScreenRate,overrideRate,weakFormDeclarationRate,suspendedDeclarationRate,legislativeResponseRate,invalidationLegislativeResponseRate,averageLegislativeResponseDelay,timelyLegislativeResponseRate,rightsImpactStatementRate,ombudsmanTriggerRate,publicDefenderParticipationRate,preEnactmentReviewRate,abstractReviewRate,preliminaryReferenceRate,appealRouteRate,directActionRate,lowerCourtConflict,averageTimeToReview,replacementRate,stateCaseShare,mixedJurisdictionShare,averageLowerCourtDepth,stateFederalTension,intercourtConflict,complianceRate,defianceRate,workaroundRate,repeatedLitigationRate,executiveImplementationRate,agencyNonacquiescenceRate,legislativeReenactmentRate,invalidationLegislativeReenactmentRate,localGovernmentComplianceRate,publicTrust,legislativeConflict,courtCurbingPressure,amendmentPressure,administrativeLoad,directCourtCost,upstreamScreeningCost,capacityStrainCost,institutionalBudgetCost,institutionalDelayCost,implementationComplexity,totalInstitutionalCost,statuteDispositions,statuteNullifications,statuteNullificationRate
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,9600,9600,1036,7416,5129,2184,1036,0,386434,376834,0.496,1.000,0.025,0.692,0.228,0.474,0.027,0.362,0.571,0.799,0.678,0.000,0.718,0.642,0.215,0.651,0.514,0.108,0.429,0.363,0.513,0.431,0.362,0.601,0.524,0.527,0.643,0.772,0.745,0.279,0.318,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.109,0.338,0.279,2.429,0.586,0.530,0.329,0.336,0.156,0.372,0.331,0.221,0.063,0.098,0.172,0.018,0.972,0.907,0.844,0.521,0.310,0.694,0.443,0.382,0.428,0.441,0.457,1388,546,0.393
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,9600,9600,998,7479,4761,2121,998,0,386109,376509,0.505,1.000,0.025,0.637,0.221,0.471,0.037,0.388,0.540,0.798,0.620,0.000,0.726,0.654,0.198,0.645,0.524,0.104,0.424,0.374,0.514,0.431,0.362,0.601,0.531,0.519,0.643,0.771,0.841,0.246,0.308,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.272,0.338,0.279,2.429,0.586,0.530,0.336,0.327,0.161,0.373,0.335,0.212,0.068,0.086,0.174,0.019,0.971,0.902,0.843,0.530,0.314,0.694,0.458,0.387,0.429,0.443,0.462,1370,532,0.388
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,9600,9600,2853,4672,2157,6091,2853,0,399627,390027,0.587,1.000,0.024,0.462,0.634,0.468,0.676,0.594,0.281,0.805,0.439,0.249,0.852,0.723,0.158,0.188,0.675,0.297,0.293,0.441,0.547,0.431,0.362,0.611,0.613,0.437,0.643,0.755,0.904,0.190,0.280,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.340,0.338,0.279,2.429,0.586,0.530,0.442,0.241,0.155,0.267,0.453,0.171,0.067,0.097,0.254,0.038,0.914,0.854,0.689,0.514,0.367,0.696,0.445,0.441,0.436,0.461,0.477,3916,1524,0.389
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,9600,9600,2691,4676,2296,6080,2691,0,399591,389991,0.576,1.000,0.024,0.491,0.633,0.443,0.634,0.514,0.306,0.810,0.470,0.247,0.860,0.718,0.175,0.194,0.651,0.280,0.294,0.434,0.538,0.431,0.362,0.610,0.607,0.446,0.642,0.759,0.778,0.241,0.296,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.113,0.338,0.279,2.429,0.586,0.530,0.429,0.257,0.156,0.283,0.430,0.180,0.073,0.099,0.245,0.035,0.921,0.859,0.720,0.493,0.307,0.696,0.423,0.381,0.433,0.497,0.463,3878,1415,0.365
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,9600,9600,2722,4652,2149,6105,2722,0,399686,390086,0.593,1.000,0.024,0.462,0.636,0.446,0.711,0.654,0.287,0.808,0.437,0.249,0.854,0.722,0.158,0.184,0.695,0.284,0.290,0.441,0.554,0.431,0.362,0.607,0.617,0.435,0.643,0.758,0.917,0.191,0.275,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.344,0.338,0.279,2.429,0.586,0.530,0.460,0.234,0.147,0.263,0.457,0.168,0.067,0.095,0.268,0.040,0.902,0.843,0.670,0.514,0.366,0.696,0.445,0.440,0.436,0.495,0.482,3918,1454,0.371
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,9600,9600,4393,3731,1824,9600,4393,0,404126,394526,0.607,1.000,0.024,0.489,1.000,0.458,0.869,0.690,0.127,0.819,0.466,1.000,0.883,0.736,0.174,0.011,0.733,0.458,0.254,0.452,0.571,0.431,0.362,0.614,0.635,0.448,0.643,0.752,0.828,0.208,0.291,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.272,0.338,0.279,2.429,0.586,0.530,0.492,0.209,0.155,0.231,0.492,0.166,0.075,0.100,0.292,0.046,0.884,0.851,0.575,0.496,0.312,0.697,0.430,0.386,0.437,0.492,0.466,6206,2353,0.379
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,9600,9600,2922,4652,2123,6089,2922,0,399800,390200,0.582,1.000,0.024,0.456,0.634,0.480,0.692,0.629,0.276,0.811,0.428,0.245,0.848,0.723,0.157,0.185,0.688,0.304,0.293,0.441,0.552,0.431,0.362,0.603,0.614,0.434,0.642,0.757,0.927,0.174,0.257,0.042,0.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.344,0.338,0.279,2.429,0.586,0.530,0.446,0.240,0.153,0.273,0.448,0.175,0.071,0.108,0.256,0.038,0.911,0.850,0.688,0.715,0.438,0.696,0.481,0.508,0.510,0.488,0.520,3905,1538,0.394
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,9600,9600,3263,3100,1272,9600,3263,0,407100,397500,0.603,1.000,0.024,0.410,1.000,0.340,0.872,0.715,0.133,0.818,0.385,1.000,0.906,0.743,0.144,0.014,0.742,0.340,0.260,0.461,0.563,0.431,0.362,0.584,0.630,0.598,0.639,0.767,0.894,0.155,0.267,0.072,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.342,0.338,0.279,2.429,0.586,0.530,0.499,0.209,0.138,0.234,0.509,0.146,0.067,0.106,0.314,0.054,0.826,0.792,0.553,0.888,0.520,0.697,0.583,0.587,0.564,0.627,0.594,6206,1741,0.281
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,9600,9600,2170,4635,1943,6114,2170,0,399660,390060,0.592,1.000,0.024,0.419,0.637,0.355,0.756,0.724,0.260,0.805,0.388,0.248,0.912,0.726,0.138,0.176,0.721,0.226,0.281,0.447,0.557,0.431,0.362,0.594,0.613,0.663,0.642,0.764,0.929,0.128,0.243,0.072,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.538,0.338,0.279,2.429,0.586,0.530,0.459,0.236,0.144,0.262,0.483,0.159,0.067,0.103,0.288,0.048,0.859,0.801,0.634,0.767,0.445,0.696,0.506,0.514,0.504,0.571,0.539,3889,1159,0.298
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,9600,9600,2935,4679,2253,6077,2935,143,399531,389931,0.565,1.000,0.024,0.482,0.633,0.483,0.648,0.572,0.301,0.801,0.461,0.247,0.840,0.716,0.170,0.191,0.668,0.306,0.299,0.441,0.548,0.431,0.362,0.606,0.608,0.436,0.643,0.762,0.901,0.217,0.282,0.044,0.000,0.000,0.000,0.049,0.000,0.000,0.015,0.049,0.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.288,0.338,0.279,2.429,0.586,0.530,0.429,0.255,0.154,0.276,0.444,0.173,0.071,0.097,0.245,0.035,0.921,0.859,0.711,0.507,0.314,0.696,0.439,0.387,0.436,0.521,0.472,3884,1569,0.404
