profileKey,targetFile,timePeriod,targetKey,label,currentObservedValue,auditedObservedValue,currentDenominator,auditedDenominator,auditedNumerator,sourceRange,unit,sourceUrl,auditSourceUrl,auditStatus,promotionRecommendation,constructionNote
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.speech,Speech docket share,0.0757,0.0757,9341,9341,707,0.060--0.091,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 707 cases matching issueArea=3 divided by 9341 case-centered citation rows in 1946-2024 terms.
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.equality,Civil-rights and privacy docket share,0.1521,0.1521,9341,9341,1421,0.135--0.169,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,"Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 1421 cases matching issueArea in {2,5} excluding election-law issue codes 20010, 20020, 20030, 20090, 30140 divided by 9341 case-centered citation rows in 1946-2024 terms."
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.criminal_procedure,Criminal procedure docket share,0.2251,0.2251,9341,9341,2103,0.207--0.244,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 2103 cases matching issueArea=1 divided by 9341 case-centered citation rows in 1946-2024 terms.
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.federalism,Federalism docket share,0.0559,0.0559,9341,9341,522,0.041--0.071,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,"Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 522 cases matching issueArea in {10,11} divided by 9341 case-centered citation rows in 1946-2024 terms."
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.election_law,Election-law docket share,0.0263,0.0263,9341,9341,246,0.013--0.040,share,https://scdb.la.psu.edu/online-codebook/issue/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,"Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 246 cases matching issue in {20010,20020,20030,20090,30140} divided by 9341 case-centered citation rows in 1946-2024 terms."
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.emergency_powers,Emergency-powers merits share,0.0011,0.0011,9341,9341,10,0.000--0.012,share,https://scdb.la.psu.edu/online-codebook/issue/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 10 cases matching issue=130015 divided by 9341 case-centered citation rows in 1946-2024 terms.
scdb-postwar-merits-1946-2024,us-supreme-court-1946-2024.csv,1946-2024 terms,doctrine_mix.administrative_state,Administrative and economic regulation share,0.2171,0.2171,9341,9341,2028,0.199--0.236,share,https://scdb.la.psu.edu/online-codebook/issue/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 2028 cases matching issueArea=8 or issue=90120 divided by 9341 case-centered citation rows in 1946-2024 terms.
scdb-modern-merits-2000-2024,us-supreme-court-2000-2024.csv,2000-2024 terms,doctrine_mix.speech,Speech docket share,0.0594,0.0594,1886,1886,112,0.039--0.080,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 112 cases matching issueArea=3 divided by 1886 case-centered citation rows in 2000-2024 terms.
scdb-modern-merits-2000-2024,us-supreme-court-2000-2024.csv,2000-2024 terms,doctrine_mix.equality,Civil-rights and privacy docket share,0.1638,0.1638,1886,1886,309,0.137--0.191,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,"Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 309 cases matching issueArea in {2,5} excluding election-law issue codes 20010, 20020, 20030, 20090, 30140 divided by 1886 case-centered citation rows in 2000-2024 terms."
scdb-modern-merits-2000-2024,us-supreme-court-2000-2024.csv,2000-2024 terms,doctrine_mix.criminal_procedure,Criminal procedure docket share,0.2593,0.2593,1886,1886,489,0.230--0.289,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 489 cases matching issueArea=1 divided by 1886 case-centered citation rows in 2000-2024 terms.
scdb-modern-merits-2000-2024,us-supreme-court-2000-2024.csv,2000-2024 terms,doctrine_mix.federalism,Federalism docket share,0.0573,0.0573,1886,1886,108,0.037--0.078,share,https://scdb.la.psu.edu/data/2025-release-01/,https://scdb.la.psu.edu/data/2025-release-01/,matches-current-row,keep denominator and construction note synchronized with SCDB release,"Audited from SCDB 2025 Release 01 case-centered Supreme Court Citation CSV: 108 cases matching issueArea in {10,11} divided by 1886 case-centered citation rows in 2000-2024 terms."
