gapRank,queuePriorityRank,promotionReadiness,claimBoundary,actionType,profileKey,court,targetFamily,coverageStatus,candidateRows,verifiedCandidateRows,pendingVerificationRows,directAnalogueCandidateRows,roadmapRows,topCandidateFile,topCandidateLabel,topCandidateStatus,topCandidateSourceStatus,blockingReason,recommendedAction
1,1,model-metric-gap,verified source measure lacks a matching simulator output unit,candidate-verification,canada-charter-dialogue-1982-2007,Supreme Court of Canada,merits,missing,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Statute nullification rate among federal and provincial statute dispositions,verified-model-gap,verified:https://digitalcommons.osgoode.yorku.ca/ohlj/vol30/iss1/1/,source evidence is reproducible but cannot be compared to the current all-merits simulator metric without mixing units,add the missing simulator output and preserve the source unit before reconsidering validation promotion
2,2,needs-source-documentation,stress-only row needs promotion evidence,source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,merits,stress-only,0,0,0,0,0,,,,,"stress-only coverage lacks the full promotion package: source URL, denominator, coding rule, and direct analogue","verify denominator, source URL, coding rule, and direct analogue before promoting stress-only rows"
3,3,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,canada-scc-recent,Supreme Court of Canada,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
4,4,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,canada-scc-recent,Supreme Court of Canada,political-context,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
5,5,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,cost-france-conseil,French Constitutional Council,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
6,6,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,cost-uk-supreme-court,UK Supreme Court,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
7,7,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,cost-us-supreme-court,U.S. Supreme Court,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
8,8,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,france-conseil-qpc,French Constitutional Council,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
9,9,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,france-conseil-qpc,French Constitutional Council,political-context,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
10,10,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,gallup-court-confidence-2024,U.S. Supreme Court,political-context,stress-only,0,0,0,0,1,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
