contrast,claim,left,right,kind,metric,expectedSign,role,measurementCaveat,cells,pointMin,pointMax,positiveCells,negativeCells,nearZeroCells,intervalsAboveZero,intervalsBelowZero,classification,evidenceStatus
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,emergencyReasonGivingRate,1,registered-component,Procedural event partly imposed by the design; conditional on emergency orders,52,-0.025453342953342954,0.8798409039802423,48,3,1,48,1,sign-reversing,mechanism-and-conditional-denominator-dependent
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,meritsFollowUpRate,1,registered-component,Procedural event partly imposed by the design; conditional on emergency orders,52,0.008333333333333333,1.0,50,0,2,49,0,mixed/weak,mechanism-and-conditional-denominator-dependent
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,averageTimeToReview,1,registered-component,Shared docket input; cannot identify a design-specific duration effect,52,0.0,0.0,0,0,52,0,0,mixed/weak,unsupported-design-duration-measure
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,totalInstitutionalCost,1,registered-component,Constructed normalized cost index with assigned structural coefficients,52,0.009536157309050145,0.013712440394173525,8,0,44,52,0,mixed/weak,modeled-downstream-or-accounting-output
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,shadowDocketAbuse,-1,registered-component,Constructed emergency-process irregularity index; not a legal finding of abuse,52,-0.8280151123572862,-0.04563750039867152,0,52,0,0,52,stable,modeled-downstream-or-accounting-output
emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,institutionalDelayCost,0,additional-diagnostic,Constructed delay-cost index; not a replacement for the registered duration endpoint,52,0.0028806088379205864,0.008536153461111334,0,0,52,52,0,descriptive-only,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,directCourtCost,0,registered-diagnostic,Direct-only normalized accounting view; no directional superiority prespecified,52,0.13579879166666667,0.1375280666666667,52,0,0,52,0,descriptive-only,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,upstreamScreeningCost,1,registered-component,Constructed upstream-burden score partly imposed by intake rules,52,0.00042937254353126543,0.002158944787797155,0,0,52,52,0,mixed/weak,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,capacityStrainCost,0,registered-diagnostic,Constructed capacity score; no directional superiority prespecified,52,0.0630906701598096,0.07927697336235422,52,0,0,52,0,descriptive-only,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,totalInstitutionalCost,0,registered-diagnostic,Constructed total index; not the arithmetic sum of raw monetary costs,52,0.08282305261781465,0.08602351907989862,52,0,0,52,0,descriptive-only,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,intakeAcceptanceRate,0,registered-diagnostic,Reviewed cases divided by simulated intake filings; no directional superiority prespecified,52,-0.0007993183938877741,-0.00015203891129027865,0,0,52,0,52,descriptive-only,modeled-downstream-or-accounting-output
screening-base,screening,constitutional-council,current-federal-court,base,councilScreenRate,1,registered-component,Mechanism activation conditional on reviewed cases; not independent validation,52,1.0,1.0,52,0,0,52,0,stable,mechanism-dependent-model-output
screening-base,screening,constitutional-council,current-federal-court,base,administrativeLoad,0,additional-diagnostic,Constructed administrative load; descriptive only,52,0.24621500000000002,0.26827208333333347,52,0,0,52,0,descriptive-only,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseRate,1,registered-component,Response event depends on assigned triggers and credibility rules,52,0.14958333333333332,0.5447916666666667,52,0,0,52,0,stable,mechanism-dependent-model-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseCredibility,1,registered-component,Constructed credibility score; directly scaled by the response intervention,52,0.044312499999999935,0.09053124999999992,52,0,0,52,0,stable,mechanism-dependent-model-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,timelyLegislativeResponseRate,1,registered-component,Conditional on positive replies; no replies is not an observed late reply,52,0.0,0.32791827353053815,39,0,13,40,0,mixed/weak,conditional-response-populations-not-comparable
weak-form-base,weak-form,weak-form-review,current-federal-court,base,rightsProtection,1,registered-component,Constructed rights-protection score; not constitutional correctness,52,-0.005493846719736018,0.059780764390000456,44,0,8,48,4,mixed/weak,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,complianceRate,1,registered-component,Simulated compliance event share; not an observed reform effect,52,0.19229166666666667,0.3909375,52,0,0,52,0,stable,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,democraticResponsiveness,1,registered-component,Constructed responsiveness index,52,0.046714517676048964,0.10881764096600652,52,0,0,52,0,stable,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,vetoRelocationRisk,-1,registered-component,Constructed veto-risk index with design-specific terms,52,-0.38134984847238723,-0.29071430486130045,0,52,0,0,52,stable,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,totalInstitutionalCost,0,registered-diagnostic,Constructed cost index; no cost superiority prespecified,52,-0.0947338555341476,-0.08436301316844447,0,52,0,0,52,descriptive-only,modeled-downstream-or-accounting-output
weak-form-base,weak-form,weak-form-review,current-federal-court,base,averageLegislativeResponseDelay,0,additional-diagnostic,Conditional on positive replies; zero replies is not instantaneous response,52,0.36067750297682355,0.4894585842772386,52,0,0,52,0,descriptive-only,conditional-response-populations-not-comparable
