context,field,value,caseCount,reviewPeriods,appointmentPolarization,rightsThreatRate,emergencyPressure,legislativeConflict,publicTrust,partisanPressure,partyFragmentation,governmentControl,electoralTimePressure,civilSocietyCapacity,implementationCapacity,legalTraditionCompatibility,doctrineDocketProfile
baseline,baseline,0.0,80,4,0.62,0.36,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
emergencyPressure-low,emergencyPressure,0.1,80,4,0.62,0.36,0.1,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
emergencyPressure-high,emergencyPressure,0.6,80,4,0.62,0.36,0.6,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
rightsThreatRate-low,rightsThreatRate,0.2,80,4,0.62,0.2,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
rightsThreatRate-high,rightsThreatRate,0.6,80,4,0.62,0.6,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
appointmentPolarization-low,appointmentPolarization,0.25,80,4,0.25,0.36,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
appointmentPolarization-high,appointmentPolarization,0.85,80,4,0.85,0.36,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
legislativeConflict-low,legislativeConflict,0.15,80,4,0.62,0.36,0.28,0.15,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
legislativeConflict-high,legislativeConflict,0.75,80,4,0.62,0.36,0.28,0.75,0.58,0.55,0.46,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
implementationCapacity-low,implementationCapacity,0.25,80,4,0.62,0.36,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.25,0.68,STYLIZED_SEVEN_AREA
implementationCapacity-high,implementationCapacity,0.85,80,4,0.62,0.36,0.28,0.42,0.58,0.55,0.46,0.54,0.42,0.58,0.85,0.68,STYLIZED_SEVEN_AREA
partyFragmentation-low,partyFragmentation,0.2,80,4,0.62,0.36,0.28,0.42,0.58,0.55,0.2,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
partyFragmentation-high,partyFragmentation,0.8,80,4,0.62,0.36,0.28,0.42,0.58,0.55,0.8,0.54,0.42,0.58,0.62,0.68,STYLIZED_SEVEN_AREA
