profile,context,responseVariant,scenario,weightDraws,leadershipCredit,leadershipShare
frozen-generator,baseline,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,baseline,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,baseline,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,baseline,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,baseline,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,baseline,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,baseline,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,baseline,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,baseline,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,baseline,no-response,reasoned-emergency-review,1000,11.0,0.011
frozen-generator,baseline,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,baseline,no-response,weak-form-no-response,1000,988.0,0.988
frozen-generator,emergencyPressure-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-low,full-response,reasoned-emergency-review,1000,0.0,0.0
frozen-generator,emergencyPressure-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,emergencyPressure-low,full-response,weak-form-review,1000,1000.0,1.0
frozen-generator,emergencyPressure-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-low,half-response,reasoned-emergency-review,1000,0.0,0.0
frozen-generator,emergencyPressure-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,emergencyPressure-low,half-response,weak-form-half-response,1000,1000.0,1.0
frozen-generator,emergencyPressure-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-low,no-response,reasoned-emergency-review,1000,0.0,0.0
frozen-generator,emergencyPressure-low,no-response,constitutional-council,1000,3.0,0.003
frozen-generator,emergencyPressure-low,no-response,weak-form-no-response,1000,997.0,0.997
frozen-generator,emergencyPressure-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-high,full-response,reasoned-emergency-review,1000,613.0,0.613
frozen-generator,emergencyPressure-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,emergencyPressure-high,full-response,weak-form-review,1000,387.0,0.387
frozen-generator,emergencyPressure-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-high,half-response,reasoned-emergency-review,1000,697.0,0.697
frozen-generator,emergencyPressure-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,emergencyPressure-high,half-response,weak-form-half-response,1000,303.0,0.303
frozen-generator,emergencyPressure-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,emergencyPressure-high,no-response,reasoned-emergency-review,1000,765.0,0.765
