gapRank,queuePriorityRank,promotionRank,promotionReadiness,claimBoundary,profileKey,court,targetFamily,coverageStatus,targetFile,timePeriod,targetKey,label,observedValue,sourceRange,denominator,unit,method,reliability,sourceName,sourceUrl,useForValidation,promotionBlockers,recommendedPromotion
2,2,1,needs-source-documentation,stress-only row needs promotion evidence,south-africa-constcourt-recent,Constitutional Court of South Africa,merits,stress-only,south-africa-constcourt-recent.csv,recent annual average,merits_invalidation_rate,Merits invalidation proxy,0.5318,0.470--0.590,0,share,merits outcome synthesis,medium,Constitutional Court statistics synthesis,https://www.concourt.org.za/,false,not-validation-counted|missing-denominator|synthesis-source,replace synthesis trail with a primary or authoritative public source before validation promotion
3,3,1,contextual-source-documentation,"contextual source surface, not validation-family gap",canada-scc-recent,Supreme Court of Canada,cost,stress-only,canada-scc-recent.csv,recent annual average,direct_court_cost,Normalized direct court cost,0.550,0.490--0.610,9,normalized,benchmark cost profile,medium,Institutional cost benchmark synthesis,,false,not-validation-counted|missing-source-url|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
4,4,1,contextual-source-documentation,"contextual source surface, not validation-family gap",canada-scc-recent,Supreme Court of Canada,political-context,stress-only,canada-scc-recent.csv,recent annual average,public_trust,Public trust proxy,0.490,0.430--0.550,0,share,public-trust survey proxy,medium,Comparative calibration research synthesis,,false,not-validation-counted|missing-source-url|missing-denominator|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
5,5,1,contextual-source-documentation,"contextual source surface, not validation-family gap",cost-france-conseil,French Constitutional Council,cost,stress-only,institutional-cost-profiles.csv,recent annual,direct_court_cost,Normalized direct court cost,0.340,0.280--0.400,9,normalized,budget and decision benchmark,medium,Institutional cost benchmark synthesis,https://www.conseil-constitutionnel.fr/,false,not-validation-counted|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
6,6,1,contextual-source-documentation,"contextual source surface, not validation-family gap",cost-uk-supreme-court,UK Supreme Court,cost,stress-only,institutional-cost-profiles.csv,recent annual,direct_court_cost,Normalized direct court cost,0.430,0.370--0.490,12,normalized,budget and staffing benchmark,medium,Institutional cost benchmark synthesis,https://www.supremecourt.uk/,false,not-validation-counted|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
7,7,1,contextual-source-documentation,"contextual source surface, not validation-family gap",cost-us-supreme-court,U.S. Supreme Court,cost,stress-only,institutional-cost-profiles.csv,FY2025,capacity_strain_cost,Normalized capacity strain,0.480,0.420--0.540,0,normalized,budget and filings benchmark,medium,Institutional cost benchmark synthesis,https://www.supremecourt.gov/,false,not-validation-counted|missing-denominator|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
7,7,2,contextual-source-documentation,"contextual source surface, not validation-family gap",cost-us-supreme-court,U.S. Supreme Court,cost,stress-only,institutional-cost-profiles.csv,FY2025,direct_court_cost,Normalized direct court cost,0.740,0.690--0.790,9,normalized,budget and staffing benchmark,medium,Institutional cost benchmark synthesis,https://www.supremecourt.gov/,false,not-validation-counted|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
8,8,1,contextual-source-documentation,"contextual source surface, not validation-family gap",france-conseil-qpc,French Constitutional Council,cost,stress-only,france-conseil-qpc.csv,QPC recent period,direct_court_cost,Normalized direct court cost,0.340,0.280--0.400,9,normalized,benchmark cost profile,medium,Institutional cost benchmark synthesis,,false,not-validation-counted|missing-source-url|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
8,8,2,contextual-source-documentation,"contextual source surface, not validation-family gap",france-conseil-qpc,French Constitutional Council,cost,stress-only,france-conseil-qpc.csv,QPC recent period,upstream_screening_cost,Normalized upstream screening cost,0.590,0.520--0.660,0,normalized,benchmark cost profile,medium,Institutional cost benchmark synthesis,,false,not-validation-counted|missing-source-url|missing-denominator|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
9,9,1,contextual-source-documentation,"contextual source surface, not validation-family gap",france-conseil-qpc,French Constitutional Council,political-context,stress-only,france-conseil-qpc.csv,QPC recent period,public_trust,Public trust proxy,0.500,0.430--0.570,0,share,public-trust survey proxy,low,Comparative calibration research synthesis,,false,not-validation-counted|missing-source-url|missing-denominator|synthesis-source|context-or-normalized-measure,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
10,10,1,contextual-source-documentation,"contextual source surface, not validation-family gap",gallup-court-confidence-2024,U.S. Supreme Court,political-context,stress-only,us-supreme-court-2024-public-emergency.csv,2024 public-opinion year,public_trust,Public court trust and approval,0.420,0.350--0.490,0,share,Gallup confidence and approval bracket,medium,Gallup Supreme Court and courts confidence reporting,https://news.gallup.com/poll/647834/approval-supreme-court-stalled-near-historical-low.aspx,false,not-validation-counted|missing-denominator,document raw budget or public-opinion source trail for context; keep normalized-cost and public-trust proxy rows outside validation counts
